"Assay CO2","species","group","growth","assay","line"
"ambient","Navicula","Diatom",1.27,1,"a"
"ambient","Navicula","Diatom",1.21,1,"b"
"ambient","Navicula","Diatom",1.2,1,"c"
"rising","Navicula","Diatom",1.32,1,"d"
"rising","Navicula","Diatom",1.32,1,"e"
"rising","Navicula","Diatom",1.34,1,"f"
"ambient","Nitzschia","Diatom",1.26,1,"a"
"ambient","Nitzschia","Diatom",1.29,1,"b"
"ambient","Nitzschia","Diatom",1.25,1,"c"
"rising","Nitzschia","Diatom",1.36,1,"d"
"rising","Nitzschia","Diatom",1.38,1,"e"
"rising","Nitzschia","Diatom",1.36,1,"f"
"ambient","Scenedesmus","Chlorophyte",1.39,1,"a"
"ambient","Scenedesmus","Chlorophyte",1.43,1,"b"
"ambient","Scenedesmus","Chlorophyte",1.42,1,"c"
"rising","Scenedesmus","Chlorophyte",1.5,1,"d"
"rising","Scenedesmus","Chlorophyte",1.52,1,"e"
"rising","Scenedesmus","Chlorophyte",1.5,1,"f"
"ambient","Pseudokirchneriella","Chlorophyte",1.21,1,"a"
"ambient","Pseudokirchneriella","Chlorophyte",1.16,1,"b"
"ambient","Pseudokirchneriella","Chlorophyte",1.19,1,"c"
"rising","Pseudokirchneriella","Chlorophyte",1.31,1,"d"
"rising","Pseudokirchneriella","Chlorophyte",1.28,1,"e"
"rising","Pseudokirchneriella","Chlorophyte",1.35,1,"f"
"ambient","Synechococcus","Cyanobacteria",0.91,1,"a"
"ambient","Synechococcus","Cyanobacteria",1.02,1,"b"
"ambient","Synechococcus","Cyanobacteria",0.93,1,"c"
"rising","Synechococcus","Cyanobacteria",1.23,1,"d"
"rising","Synechococcus","Cyanobacteria",1.09,1,"e"
"rising","Synechococcus","Cyanobacteria",1,1,"f"
"ambient","Anabaena","Cyanobacteria",1.24,1,"a"
"ambient","Anabaena","Cyanobacteria",1.26,1,"b"
"ambient","Anabaena","Cyanobacteria",1.26,1,"c"
"rising","Anabaena","Cyanobacteria",1.4,1,"d"
"rising","Anabaena","Cyanobacteria",1.41,1,"e"
"rising","Anabaena","Cyanobacteria",1.39,1,"f"
"ambient","Navicula","Diatom",1.28,2,"a"
"ambient","Navicula","Diatom",1.25,2,"b"
"ambient","Navicula","Diatom",1.27,2,"c"
"rising","Navicula","Diatom",1.36,2,"d"
"rising","Navicula","Diatom",1.36,2,"e"
"rising","Navicula","Diatom",1.39,2,"f"
"ambient","Nitzschia","Diatom",1.33,2,"a"
"ambient","Nitzschia","Diatom",1.31,2,"b"
"ambient","Nitzschia","Diatom",1.34,2,"c"
"rising","Nitzschia","Diatom",1.43,2,"d"
"rising","Nitzschia","Diatom",1.41,2,"e"
"rising","Nitzschia","Diatom",1.42,2,"f"
"ambient","Scenedesmus","Chlorophyte",1.43,2,"a"
"ambient","Scenedesmus","Chlorophyte",1.42,2,"b"
"ambient","Scenedesmus","Chlorophyte",1.43,2,"c"
"rising","Scenedesmus","Chlorophyte",1.58,2,"d"
"rising","Scenedesmus","Chlorophyte",1.59,2,"e"
"rising","Scenedesmus","Chlorophyte",1.59,2,"f"
"ambient","Pseudokirchneriella","Chlorophyte",1.39,2,"a"
"ambient","Pseudokirchneriella","Chlorophyte",1.34,2,"b"
"ambient","Pseudokirchneriella","Chlorophyte",1.37,2,"c"
"rising","Pseudokirchneriella","Chlorophyte",1.51,2,"d"
"rising","Pseudokirchneriella","Chlorophyte",1.51,2,"e"
"rising","Pseudokirchneriella","Chlorophyte",1.5,2,"f"
"ambient","Synechococcus","Cyanobacteria",1.19,2,"a"
"ambient","Synechococcus","Cyanobacteria",1.24,2,"b"
"ambient","Synechococcus","Cyanobacteria",1.18,2,"c"
"rising","Synechococcus","Cyanobacteria",1.39,2,"d"
"rising","Synechococcus","Cyanobacteria",1.49,2,"e"
"rising","Synechococcus","Cyanobacteria",1.33,2,"f"
"ambient","Anabaena","Cyanobacteria",1.34,2,"a"
"ambient","Anabaena","Cyanobacteria",1.3,2,"b"
"ambient","Anabaena","Cyanobacteria",1.33,2,"c"
"rising","Anabaena","Cyanobacteria",1.45,2,"d"
"rising","Anabaena","Cyanobacteria",1.41,2,"e"
"rising","Anabaena","Cyanobacteria",1.44,2,"f"
"ambient","Navicula","Diatom",1.29,3,"a"
"ambient","Navicula","Diatom",1.28,3,"b"
"ambient","Navicula","Diatom",1.28,3,"c"
"rising","Navicula","Diatom",1.41,3,"d"
"rising","Navicula","Diatom",1.36,3,"e"
"rising","Navicula","Diatom",1.41,3,"f"
"ambient","Nitzschia","Diatom",1.28,3,"a"
"ambient","Nitzschia","Diatom",1.3,3,"b"
"ambient","Nitzschia","Diatom",1.3,3,"c"
"rising","Nitzschia","Diatom",1.41,3,"d"
"rising","Nitzschia","Diatom",1.42,3,"e"
"rising","Nitzschia","Diatom",1.41,3,"f"
"ambient","Scenedesmus","Chlorophyte",1.44,3,"a"
"ambient","Scenedesmus","Chlorophyte",1.41,3,"b"
"ambient","Scenedesmus","Chlorophyte",1.41,3,"c"
"rising","Scenedesmus","Chlorophyte",1.62,3,"d"
"rising","Scenedesmus","Chlorophyte",1.62,3,"e"
"rising","Scenedesmus","Chlorophyte",1.59,3,"f"
"ambient","Pseudokirchneriella","Chlorophyte",1.34,3,"a"
"ambient","Pseudokirchneriella","Chlorophyte",1.33,3,"b"
"ambient","Pseudokirchneriella","Chlorophyte",1.37,3,"c"
"rising","Pseudokirchneriella","Chlorophyte",1.54,3,"d"
"rising","Pseudokirchneriella","Chlorophyte",1.54,3,"e"
"rising","Pseudokirchneriella","Chlorophyte",1.53,3,"f"
"ambient","Synechococcus","Cyanobacteria",1.23,3,"a"
"ambient","Synechococcus","Cyanobacteria",1.34,3,"b"
"ambient","Synechococcus","Cyanobacteria",1.25,3,"c"
"rising","Synechococcus","Cyanobacteria",1.52,3,"d"
"rising","Synechococcus","Cyanobacteria",1.45,3,"e"
"rising","Synechococcus","Cyanobacteria",1.48,3,"f"
"ambient","Anabaena","Cyanobacteria",1.27,3,"a"
"ambient","Anabaena","Cyanobacteria",1.27,3,"b"
"ambient","Anabaena","Cyanobacteria",1.3,3,"c"
"rising","Anabaena","Cyanobacteria",1.41,3,"d"
"rising","Anabaena","Cyanobacteria",1.4,3,"e"
"rising","Anabaena","Cyanobacteria",1.42,3,"f"
"ambient","Navicula","Diatom",1.24,4,"a"
"ambient","Navicula","Diatom",1.25,4,"b"
"ambient","Navicula","Diatom",1.24,4,"c"
"rising","Navicula","Diatom",1.39,4,"d"
"rising","Navicula","Diatom",1.4,4,"e"
"rising","Navicula","Diatom",1.36,4,"f"
"ambient","Nitzschia","Diatom",1.35,4,"a"
"ambient","Nitzschia","Diatom",1.28,4,"b"
"ambient","Nitzschia","Diatom",1.32,4,"c"
"rising","Nitzschia","Diatom",1.47,4,"d"
"rising","Nitzschia","Diatom",1.45,4,"e"
"rising","Nitzschia","Diatom",1.47,4,"f"
"ambient","Scenedesmus","Chlorophyte",1.41,4,"a"
"ambient","Scenedesmus","Chlorophyte",1.41,4,"b"
"ambient","Scenedesmus","Chlorophyte",1.43,4,"c"
"rising","Scenedesmus","Chlorophyte",1.62,4,"d"
"rising","Scenedesmus","Chlorophyte",1.6,4,"e"
"rising","Scenedesmus","Chlorophyte",1.66,4,"f"
"ambient","Pseudokirchneriella","Chlorophyte",1.38,4,"a"
"ambient","Pseudokirchneriella","Chlorophyte",1.38,4,"b"
"ambient","Pseudokirchneriella","Chlorophyte",1.42,4,"c"
"rising","Pseudokirchneriella","Chlorophyte",1.57,4,"d"
"rising","Pseudokirchneriella","Chlorophyte",1.58,4,"e"
"rising","Pseudokirchneriella","Chlorophyte",1.57,4,"f"
"ambient","Synechococcus","Cyanobacteria",,4,"a"
"ambient","Synechococcus","Cyanobacteria",1.23,4,"b"
"ambient","Synechococcus","Cyanobacteria",1.36,4,"c"
"rising","Synechococcus","Cyanobacteria",1.42,4,"d"
"rising","Synechococcus","Cyanobacteria",1.52,4,"e"
"rising","Synechococcus","Cyanobacteria",,4,"f"
"ambient","Anabaena","Cyanobacteria",1.28,4,"a"
"ambient","Anabaena","Cyanobacteria",1.31,4,"b"
"ambient","Anabaena","Cyanobacteria",1.32,4,"c"
"rising","Anabaena","Cyanobacteria",1.46,4,"d"
"rising","Anabaena","Cyanobacteria",1.43,4,"e"
"rising","Anabaena","Cyanobacteria",1.41,4,"f"
"ambient","Navicula","Diatom",1.2,5,"a"
"ambient","Navicula","Diatom",1.19,5,"b"
"ambient","Navicula","Diatom",1.24,5,"c"
"rising","Navicula","Diatom",1.44,5,"d"
"rising","Navicula","Diatom",1.42,5,"e"
"rising","Navicula","Diatom",1.42,5,"f"
"ambient","Nitzschia","Diatom",1.2,5,"a"
"ambient","Nitzschia","Diatom",1.26,5,"b"
"ambient","Nitzschia","Diatom",1.25,5,"c"
"rising","Nitzschia","Diatom",1.4,5,"d"
"rising","Nitzschia","Diatom",1.42,5,"e"
"rising","Nitzschia","Diatom",1.41,5,"f"
"ambient","Scenedesmus","Chlorophyte",1.34,5,"a"
"ambient","Scenedesmus","Chlorophyte",1.36,5,"b"
"ambient","Scenedesmus","Chlorophyte",1.31,5,"c"
"rising","Scenedesmus","Chlorophyte",1.58,5,"d"
"rising","Scenedesmus","Chlorophyte",1.53,5,"e"
"rising","Scenedesmus","Chlorophyte",1.55,5,"f"
"ambient","Pseudokirchneriella","Chlorophyte",1.3,5,"a"
"ambient","Pseudokirchneriella","Chlorophyte",1.3,5,"b"
"ambient","Pseudokirchneriella","Chlorophyte",1.3,5,"c"
"rising","Pseudokirchneriella","Chlorophyte",1.55,5,"d"
"rising","Pseudokirchneriella","Chlorophyte",1.53,5,"e"
"rising","Pseudokirchneriella","Chlorophyte",1.56,5,"f"
"ambient","Synechococcus","Cyanobacteria",1.48,5,"a"
"ambient","Synechococcus","Cyanobacteria",1.19,5,"b"
"ambient","Synechococcus","Cyanobacteria",1.19,5,"c"
"rising","Synechococcus","Cyanobacteria",1.43,5,"d"
"rising","Synechococcus","Cyanobacteria",1.47,5,"e"
"rising","Synechococcus","Cyanobacteria",1.38,5,"f"
"ambient","Anabaena","Cyanobacteria",1.18,5,"a"
"ambient","Anabaena","Cyanobacteria",1.2,5,"b"
"ambient","Anabaena","Cyanobacteria",1.29,5,"c"
"rising","Anabaena","Cyanobacteria",1.39,5,"d"
"rising","Anabaena","Cyanobacteria",1.38,5,"e"
"rising","Anabaena","Cyanobacteria",1.39,5,"f"
"ambient","Navicula","Diatom",1.39,6,"a"
"ambient","Navicula","Diatom",1.34,6,"b"
"ambient","Navicula","Diatom",1.33,6,"c"
"rising","Navicula","Diatom",1.57,6,"d"
"rising","Navicula","Diatom",1.53,6,"e"
"rising","Navicula","Diatom",1.56,6,"f"
"ambient","Nitzschia","Diatom",1.26,6,"a"
"ambient","Nitzschia","Diatom",1.25,6,"b"
"ambient","Nitzschia","Diatom",1.29,6,"c"
"rising","Nitzschia","Diatom",1.26,6,"d"
"rising","Nitzschia","Diatom",1.28,6,"e"
"rising","Nitzschia","Diatom",1.38,6,"f"
"ambient","Scenedesmus","Chlorophyte",1.55,6,"a"
"ambient","Scenedesmus","Chlorophyte",1.53,6,"b"
"ambient","Scenedesmus","Chlorophyte",1.52,6,"c"
"rising","Scenedesmus","Chlorophyte",1.7,6,"d"
"rising","Scenedesmus","Chlorophyte",1.71,6,"e"
"rising","Scenedesmus","Chlorophyte",1.71,6,"f"
"ambient","Pseudokirchneriella","Chlorophyte",1.54,6,"a"
"ambient","Pseudokirchneriella","Chlorophyte",1.58,6,"b"
"ambient","Pseudokirchneriella","Chlorophyte",1.55,6,"c"
"rising","Pseudokirchneriella","Chlorophyte",1.77,6,"d"
"rising","Pseudokirchneriella","Chlorophyte",1.75,6,"e"
"rising","Pseudokirchneriella","Chlorophyte",1.76,6,"f"
"ambient","Synechococcus","Cyanobacteria",1.26,6,"a"
"ambient","Synechococcus","Cyanobacteria",1.4,6,"b"
"ambient","Synechococcus","Cyanobacteria",1.39,6,"c"
"rising","Synechococcus","Cyanobacteria",1.48,6,"d"
"rising","Synechococcus","Cyanobacteria",1.42,6,"e"
"rising","Synechococcus","Cyanobacteria",1.43,6,"f"
"ambient","Anabaena","Cyanobacteria",1.36,6,"a"
"ambient","Anabaena","Cyanobacteria",1.36,6,"b"
"ambient","Anabaena","Cyanobacteria",1.49,6,"c"
"rising","Anabaena","Cyanobacteria",1.21,6,"d"
"rising","Anabaena","Cyanobacteria",1.23,6,"e"
"rising","Anabaena","Cyanobacteria",1.28,6,"f"
