name,in-28F,pH2_s-28F,1-28F,2-28F,3-28F,4-28F,62-28F,48-28F,53-28F,65-28F,60-28F,67-28F,90-28F,85-28F,96-28F,97-28F,98-28F,106-28F,71-28F,79-28F,pH2_r-28F,pH12-28F,salt-28F
Sphingobacterium sp,0,0,0,0,0,0,0,0,0,0,0.264007040187738,0.342298288508557,0,0,0,0,0,0,0,0,0,50.3661146783823,1.20244431302977
Burkholderia sp,0,0,0.0325414904002603,0,0.237404378791876,0,0.0686813186813187,6.88225538971808,1.23102174805088,1.16769380473565,3.813435024934,0.831295843520782,6.98989898989899,15.6084656084656,0,99.2659395973154,40.6931095167186,86.8352635310801,0,0.193847450484619,0,0,0
Paenibacillus sp,0,0,0.357956394402864,0.675584380489123,0.0527565286204168,0.280386933968877,0.804552590266876,0,0.205170291341814,0.0648718780408693,0,0,0,0,0,0,0,0,0,0,0,0,0
Stenotrophomonas maltophilia,0,0,0.325414904002603,0,0,0.0280386933968877,0.0294348508634223,0,0,21.861822899773,0,17.8973105134474,0,0,0,0,0,0,0,0,0,0,0
Burkholderia ubonensis,0,0,0,0,0,0,0,0,0,0,0,0,0.0707070707070707,0.146972369194591,0,0,0.0406118857452281,0,0,0,0,0,0
Pseudomonas sp,0.199181739879414,0,18.5811910185486,47.952979327118,20.627802690583,58.1943081452404,48.0769230769231,2.59812050856827,11.2843660237998,0.713590658449562,1.55470812555001,1.27139364303178,23.5757575757576,0.293944738389183,0,0,0,0,1.2899983246775,0.0252844500632111,0,0.0337952010814464,0.906761285235561
Paenibacillus odorifer,0,0,0,0,0,0.126174120285995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xanthomonas sp,0,0,0,0,0,0,0,0,0.205170291341814,0.129743756081739,0,0,0,0,0,0,0,0,0,0,0,32.8489354511659,0.019712201852947
Synechococcus sp,0,34.1535698248765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0788554691900417,0.275970825941258
Burkholderia phenazinium,0,0,0,0,0,0,0,0,0,0.0324359390204346,0,0,0,0.0195963158926122,0,0,0.148910247732503,7.56322382415505,0,0,0,0,0
Staphylococcus warneri,0,0,0,0,0,0,0,0,0,0.324359390204346,0,0,0,0,0,0,0,0,0,0,0,0,0
Staphylococcus haemolyticus,0,0,0,0,0,0,0,0,0,0.0973078170613039,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderia tropica,0,0,0,0,0,0.0700967334922193,0,0,1.88756668034469,15.5368147907882,1.26136696978586,5.23227383863081,0,0.0293944738389183,0,0,0,0,0.88792092477802,83.3796881584492,0,0,0
Stenotrophomonas sp,0,0,0,0,0,0,0.0686813186813187,0,0,34.9659422640285,0,35.5501222493888,0,0,0,0,0,0,0,0,0,0,0
Aphanocapsa sp,0,2.1823080377189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146445871352935,0.433668440764833
Chryseobacterium sp,0,0,0.260331923202083,0,0,8.32749193887565,0.107927786499215,0,0.287238407878539,0,0.0880023467292461,0.244498777506112,0,0,0,0,0,0,0,0,0,0,0
Achromobacter xylosoxidans,0,0,0,0,0,0,0,0.552791597567717,0.0410340582683627,0,0.264007040187738,0,0,0.774054477758181,0,0,0,0,0.318311274920422,0,0,0,0
Burkholderia cepacia,0,0,0,0,0,0,0,0,0,0,0,0,1.88888888888889,3.07662159514011,0,0,0,0,0,0,0,0,0
Alcaligenes sp,0.0053832902670112,0,0,0,0,0,0,0,0,0,0.0586682311528307,0,0,0.0783852635704488,0,0,0,0,0.0167532249958117,0,0,0.168976005407232,0
Halomicronema sp,0,61.2483161203413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achromobacter sp,0,0,0,0,0,0,0,0.110558319513543,0.205170291341814,0,0.117336462305661,0,0,0.146972369194591,0,0,0,0,0.167532249958117,0,0,0,0
Massilia sp,0,0,1.04132769280833,0.0810701256586948,0.0527565286204168,0.126174120285995,0.0196232339089482,2.57048092868988,1.88756668034469,0.0324359390204346,3.28542094455852,0,0,1.72447579854987,10.8374384236453,0,0,0,0,0,0,0,0
Burkholderia phytofirmans,0,0,0.0650829808005207,0,0,0,0,0,0,0,0,0,0.0202020202020202,0.0685871056241427,0,0,0.0406118857452281,0.165445521153392,0,0,0,0,0
Pedobacter sp,50.6890611541774,0.0359227660529861,0.195248942401562,0,0.290160907412292,0,0,1.60309563294638,0.123102174805088,0,0.0293341155764154,0,0,0,0,0,0,0,0,0,0,0,0
Dyella japonica,0,0,0,0,0,0,0,2.1558872305141,0.164136233073451,0,0.909357582868876,0.097799511002445,5.48484848484848,6.37860082304527,0,0,23.5007445512387,0,0,0,0,0,0
Paenibacillus mendelii,0,0,0,0,0,0,0,0,0,0.713590658449562,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderia fungorum,0,0,0,0,0,0,0,0,0.246204349610176,0.810898475510866,0.205338809034908,0,0,0.195963158926122,0,0.0209731543624161,1.06944632462434,0.0236350744504845,0,0,0,0,0
Delftia tsuruhatensis,0,0,0,0,0,0,0,0,0,2.36782354849173,0,6.60146699266504,0,0,0,0,0,0,0,0,0,0,0
Janthinobacterium sp,0,0,0,13.1603837319281,0,2.9721015000701,13.0690737833595,0,0.328272466146902,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderia sordidicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22535763276504,0,0,0.0676864762420468,0,0,0,0,0,0
Arenimonas malthae,0,0,0,0,0,0,0,0,0.246204349610176,0.551410963347389,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderia vietnamiensis,0,0,0,0,0,0,0,0,0,0,0,0,0.0303030303030303,0.127376053301979,0,0,0,0,0,0,0,0,0
Delftia sp,0,0,0,0,0,0.0140193466984439,0,0,0,4.63833927992215,0,16.3325183374083,0,0,0,0,0,0,0,0,0,0,0
Burkholderia cenocepacia,0,0,0,0,0,0,0,0,0,0,0,0,0.0303030303030303,0.0881834215167548,0,0,0,0,0,0,0,0,0
Serratia liquefaciens,0,0,7.32183534005857,0.0135116876097825,0.15826958586125,0.0700967334922193,0.0196232339089482,26.2299613045882,15.1826015592942,0.259487512163477,30.4194778527427,0,0,19.047619047619,23.5467980295567,0,0,0,0,0,0,0,0
Acetobacter pasteurianus,0,0,0,0,0,0.0420580400953316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas chlororaphis,0,0,0.0325414904002603,0.351303877854344,0,2.52348240571989,0.54945054945055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas fluorescens,0,0,35.4051415554832,12.0254019727064,0.316539171722501,0.658909294826861,11.5777080062794,27.5013819789939,5.49856380796061,3.21115796302303,2.49339982399531,0.58679706601467,39.020202020202,0,0,0,0,0,66.0579661584855,0,0,0,0
Microvirgula aerodenitrificans,0,0,0,0,0,0.196270853778214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas veronii,0,0,1.5619915392125,0.702607755708688,0,3.63101079489696,0.745682888540031,0,2.0927369716865,0.0973078170613039,0.0880023467292461,0.831295843520782,0,0,0,0,0,0,0,0.21913190054783,0,0,0
Burkholderia oklahomensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489907897315305,0,0,0,0,0,0,0,0,0
Cupriavidus basilensis,0,0,0,0,0,0.210290200476658,0,0,0.45137464095199,0,0.293341155764154,0.0488997555012225,0,0,0,0,0,0,0,0,0,0,0
Dyella soli,0,0,0,0,0,0,0,3.09563294637922,1.10791957324579,0.129743756081739,5.80815488413024,0.880195599022005,3.08080808080808,22.8199098569469,0,0,4.69744145119805,0,0,0,0,0,0
Duganella sp,0,0,0,0.0945818132684772,0,0.36450301415954,0.137362637362637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderia xenovorans,0,0,0,0,0,0,0,0.0276395798783858,0,0,0.117336462305661,0,0.0303030303030303,0.0195963158926122,0,0.0209731543624161,0.0947610667388656,0.0709052233514536,0,0,0,0,0
Comamonas testosteroni,0,0,0,0,0,0.098135426889107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas trivialis,0,0,5.75984380084608,1.39170382380759,0.0263782643102084,12.981915042759,1.82496075353218,0.0276395798783858,6.68855149774313,0.616282841388258,0.645350542681138,1.36919315403423,0,0,0,0,0,0,0,0.581542351453856,0,0,0
Burkholderia glumae,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195963158926122,0,0,0,0,0,0,0,0,0
Aquitalea magnusonii,0,0,0,0,0,0.238328893873545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderia gladioli,0,0,0,0,0,0,0,0,0,0,0,0,0.0101010101010101,0.0391926317852244,0,0,0,0,0,0,0,0,0
Serratia proteamaculans,0,0,0.715912788805727,0,0.0527565286204168,0.0140193466984439,0,5.16860143725815,2.33894132129668,0.0973078170613039,4.63479026107363,0,0,2.96884185773075,5.52955665024631,0,0,0,0,0,0,0,0
Rhodanobacter sp,0,0,0,0,0,0,0,0,0,0.0648718780408693,0.205338809034908,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas congelans,0,0,0.0325414904002603,0,0,0.0140193466984439,0.0098116169544741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herbaspirillum sp,0,0,0,0.0270233752195649,0,1.8225150707977,0.0784929356357928,0,0.0820681165367255,0,0,0,0,0,5.7512315270936,0,0,0,0,0.0842815002107038,0,0,0
Pseudomonas syringae,0,0,0.097624471200781,0.0540467504391298,0,0.322444974064209,0.117739403453689,0.0276395798783858,0.410340582683627,0,0.0586682311528307,0,0,0,0,0,0,0,0.0167532249958117,0,0,0,0
Duganella zoogloeoides,0,0,0,0.16214025131739,0,0.392541707556428,0.245290423861852,0,0.533442757488716,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus mitis,0,0,0,0,0,0,0,0,0,0.194615634122608,0,0,0,0,0,0,0,0,0,0,0,0,0
Comamonas sp,0,0,0,0.0270233752195649,0,0.0280386933968877,0.0196232339089482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pectobacterium carotovorum,0,0,0.097624471200781,0,0,0.0140193466984439,0,0,0.205170291341814,0,0.0293341155764154,0,0,0,0.0123152709359606,0,0,0,0,0,0,0,0
Staphylococcus epidermidis,0,0,0,0,0,0,0.0490580847723705,0,0.123102174805088,0.0648718780408693,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas putida,0,0,12.1054344288968,14.1872719902716,76.6024795568452,0.308425627365765,11.3422291993721,0,11.5305703734099,0.259487512163477,0.322675271340569,0.0488997555012225,8.31313131313131,0,0,0,0,0,0,0.00842815002107038,0,0,0.019712201852947
Massilia timonae,0,0,0,0,0,0.098135426889107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dyella sp,0,0,0,0,0.0263782643102084,0,0,1.05030403537866,0.533442757488716,0.291923451183912,1.34936931651511,0.146699266503667,0.818181818181818,7.58377425044092,0,0,3.0323541356437,0,0,0,0,0,0
Halomicronema metazoicum,0,0.00898069151324652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curvibacter gracilis,0,0,0,0.0540467504391298,0,0.0280386933968877,0.0392464678178964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halomicronema excentricum,0,0.017961383026493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus sp,0,0,0,0,0,0,0,0,0.820681165367255,0.162179695102173,0.352009386916984,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderia ambifaria,0,0,0,0,0,0,0,0,0,0,0,0,0.0202020202020202,0.0195963158926122,0,0,0,0,0,0,0,0,0
Pseudomonas jessenii,0,0,0.0325414904002603,0.0135116876097825,0,0.0140193466984439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geitlerinema sp,0,0.601706331387517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123323570217358,0,0
Aminomonas sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101385603244339,0
Burkholderia plantarii,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195963158926122,0,0,0,0,0,0,0,0,0
Methylophaga sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225301340542976,0
Citrobacter braakii,0,0,0,0,0,0.0420580400953316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudoscillatoria coralii,0,0.00898069151324652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas antarctica,0,0,0,0,0.0791347929306252,0.0420580400953316,0.0196232339089482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cronobacter sakazakii,0,0,0.162707452001302,0,0,0.0140193466984439,0,0.0829187396351575,0.0410340582683627,0,0,0,0,0.0195963158926122,0.123152709359606,0,0,0,0,0,0,0,0
Buttiauxella noackiae,0,0,0.195248942401562,0,0,0,0.0098116169544741,0,0.246204349610176,0.0324359390204346,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolichospermum fallax,0,0.107768298158958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0308308925543395,0.0112650670271488,0
Pseudomonas lutea,0,0,0,0,0,0,0,0,0,0.194615634122608,0,0,0,0,0,0,0,0,0.871167699782208,0,0,0,0
Leifsonia lichenia,0,0,0,0,0,0,0,0.165837479270315,0.287238407878539,0,0.469345849222646,0,0,0.0195963158926122,0,0,0,0,0,0,0,0,0
Nocardia sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326686943787316,0
Serratia fonticola,0,0,0,0.364815565464126,0,0.224309547175102,0.608320251177394,0,0,0,0.0586682311528307,0,0,0.00979815794630609,0,0,0,0,0,0,0,0,0
Pseudomonas synxantha,0,0,0.520663846404165,0.243210376976084,0,0.252348240571989,0.363029827315542,0,0.0410340582683627,0,0,0.0488997555012225,0,0,0,0,0,0,0,0,0,0,0
Aquitalea sp,0,0,0,0,0,0.0420580400953316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zoogloea sp,0,0,0,0.0405350628293474,0,0.098135426889107,0.0294348508634223,0.0552791597567717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterobacter sp,0,0,0.292873413602343,0,0.0791347929306252,0.140193466984439,0,0.0276395798783858,0.45137464095199,0.356795329224781,0.176004693458492,0,0,0,0.0369458128078818,0,0,0,0,0,0,0,0
Herbaspirillum seropedicae,0,0,0,0,0,0.0140193466984439,0,0,0.0820681165367255,0,0,0,0,0,0,0,0,0,0,0.00842815002107038,0,0,0
Aeromonas sp,0,0,0,0,0,0.0700967334922193,0,0,0,0,0.0880023467292461,0,0,0,0,0,0,0,0,0,0,0,0
Malikia sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0675904021628929,0.256258624088311
Aeromonas caviae,0,0,0,0,0,0.294406280667321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citrobacter freundii,0,0,0,0,0,0.126174120285995,0,0,0,0.0648718780408693,0,0,0,0,0,0,0,0,0,0,0,0,0
Serratia entomophila,0,0,0,0,0,0,0,0,0.984817398440706,0.0973078170613039,1.02669404517454,0,0,0,0,0,0,0,0,0,0,0,0
Aeromonas hydrophila,0,0,0,0,0,0.0140193466984439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeromonas punctata,0,0,0,0,0,0.098135426889107,0.0098116169544741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Propionibacterium sp,0,0,0,0,0,0,0,0,0,0.0973078170613039,0.0586682311528307,0,0,0,0,0,0,0,0,0,0,0,0
Prochlorococcus sp,0.0053832902670112,0.0359227660529861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterobacter ludwigii,0,0,0,0,0,0.126174120285995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeromonas taiwanensis,0,0,0,0,0,0.154212813682882,0.0294348508634223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Variovorax sp,0,0,0.130165961601041,0,0,0.0420580400953316,0,0,0,0,0.0586682311528307,0,0,0,0,0,0,0,0,0,0,0,0
Anabaena sp,0.209948320413437,0.0538841490794791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.1277940496377,0.0225301340542976,0.118273211117682
Serratia sp,0,0,5.14155548324113,0.202675314146737,0.184647850171459,0.154212813682882,0.274725274725275,16.0309563294638,15.7570783750513,0.129743756081739,26.0486946318569,0,0,15.334117185969,48.4113300492611,0,0,0,0.603116099849221,0,0,0,0
Frateuria sp,0,0,0,0,0,0,0,0,0,0.0324359390204346,0.0293341155764154,0,0.0101010101010101,0.195963158926122,0,0,0,0,0,0,0,0,0
Plectonema cf battersii,0,0.0808262236192187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitrobacteria sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225301340542976,0
Pseudomonas teessidea,0,0,0,0.0135116876097825,0,0.0280386933968877,0.0490580847723705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pantoea agglomerans,0,0,0,0,0.0527565286204168,0,0,0,0.123102174805088,0.0324359390204346,0.146670577882077,0,0,0,0,0,0,0,0.0167532249958117,0,0,0,0
Aranicola sp,0,0,0.0325414904002603,0,0,0,0,0.497512437810945,0.984817398440706,0,1.76004693458492,0,0,0.666274740348814,0.320197044334975,0,0,0,0,0,0,0,0
Mitsuaria sp,0,0,0,0.0945818132684772,0.0263782643102084,0.0140193466984439,0.137362637362637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Propionibacterium acnes,0,0,0,0,0,0,0,0,1.35412392285597,0.291923451183912,0.176004693458492,0.293398533007335,0,0,0,0,0,0,0,0,0,0,0
Raoultella ornithinolytica,0,0,0,0,0,0.112154773587551,0,0,0,0.194615634122608,0.0293341155764154,0,0,0,0,0,0,0,0,0.176991150442478,0,0,0
Leptolyngbya sp,0,0.00898069151324652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112650670271488,0.039424403705894
Herbaspirillum frisingense,0,0,0,0,0,0.112154773587551,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0168563000421408,0,0,0
Aphanizomenon ovalisporum,0.0484496124031008,0.0538841490794791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
